Genre Group,Count
Adventure/Animation/Mystery,2
Biography/Documentary/Western,2
Documentary/Reality,2
Drama/Crime,2
Adventure/Fantasy/Thriller,2
Drama/Horror/Musical,2
Adventure/Family/Reality-TV,2
Crime/Documentary/Family,2
Drama/Horror/War,2
Documentary/Music/Musical,2
Crime/Action,2
Adventure/Music/Sci-Fi,2
Crime/Mystery/Reality-TV,2
Biography/History/Romance,2
Sport/Thriller,2
Adventure/History/Western,2
History/Horror,2
Biography/Comedy/History,2
Romance/Sci-Fi/Thriller,2
Documentary/Mystery/Reality-TV,2
Horror/Sci-Fi/Short,2
Musical/Western,2
Action/Horror/Short,2
Adventure/Mystery/Reality-TV,2
Adventure/Crime/Sci-Fi,2
Biography/Crime/Thriller,2
Action/Crime/Musical,2
Family/Horror/Sci-Fi,2
Animation/Sport/Thriller,2
Comedy/Drama/Reality-TV,2
Action/Fantasy/Mystery,2
Action/Fantasy/Western,2
Action/Fantasy/Musical,2
Adventure/Documentary/Mystery,2
Action/Sport/Thriller,2
History/Western,2
Romance/Thriller/War,2
Adventure/Crime/Romance,2
Action/Sci-Fi/Western,2
Adventure/Drama/Film-Noir,2
Documentary/History/Western,2
Music/Talk-Show,2
Animation/Music/Musical,2
Biography/Comedy/Music,2
Adventure/War/Western,2
Fantasy/History,2
Game-Show/Horror/Reality-TV,2
Drama/Game-Show/Reality-TV,2
Documentary/Music/Thriller,2
Biography/Horror,2
TV Movie/Comedy/Drama/Romance,2
Animation/Fantasy/Thriller,2
Action/Family/Romance,2
Comedy/Family/Game-Show,2
Action/Fantasy/Short,2
Animation/Comedy/Talk-Show,2
Action/Animation/Music,2
Action/Animation/Thriller,2
Fantasy/History/Horror,2
Comedy/Horror/Western,2
Animation/Biography,2
Comedy/Horror/Reality-TV,2
Action/Adventure/Music,2
Action/Drama/Short,2
Fantasy/Horror/Short,2
Comedy/Musical/Mystery,2
Action/Adventure/Short,2
Animation/Short/Thriller,2
Film-Noir/Thriller,2
Biography/Family,2
Comedy/Crime/History,2
Adventure/Biography/War,2
Action/Biography,2
Biography/Comedy/Musical,2
Crime/Film-Noir,2
Adventure/Short,2
Drama/Short/War,2
Adventure/Crime/Horror,2
Comedy/History/War,2
Adventure/Documentary/Horror,2
Crime/Music/Thriller,2
Adventure/Animation/History,2
Film-Noir/Mystery,2
Music/Sci-Fi,2
Adventure/Romance/Thriller,2
Horror/Mystery/Reality-TV,2
Crime/Fantasy,2
Comedy/Documentary/Musical,2
Adventure/Family/Sport,2
Action/History/Western,2
Musical/Short,2
Drama/Musical/War,2
Adventure/Fantasy/Musical,1
Crime/Fantasy/Sci-Fi,1
Comedy/Short/War,1
Crime/Mystery/Western,1
Documentary/Reality-TV/Talk-Show,1
Animation/Adventure/Family,1
Animation/Music/Romance,1
Animation/Documentary/Mystery,1
Animation/Sci-Fi/War,1
Adventure/Documentary/Music,1
Family/Horror/Thriller,1
Action/Family/Horror,1
Comedy/Reality-TV/Sport,1
Documentary/News/Sport,1
History/Horror/Mystery,1
Animation/Family/War,1
History/Sci-Fi/Thriller,1
Comedy/Soap,1
Adventure/Short/Western,1
Animation/Documentary/War,1
Fantasy/Short/Thriller,1
Adventure/Family/Music,1
Family/Mystery/Sport,1
Crime/Thriller/Western,1
Documentary/Horror/Short,1
Mystery/Thriller/Horror,1
Animation/Music/Sci-Fi,1
Family/Talk-Show,1
Biography/Fantasy/Horror,1
Fantasy/Musical/Western,1
Family/Reality-TV/Short,1
Adventure/History/Horror,1
Film-Noir/Mystery/Romance,1
Adventure/Film-Noir/Romance,1
Biography/History/Thriller,1
Comedy/Reality-TV/Short,1
Fantasy/Horror/Musical,1
Musical/Mystery/Sci-Fi,1
Crime/Fantasy/History,1
History/Sport,1
Comedy/History/Reality-TV,1
Family/Game-Show/Music,1
Music/Drama,1
Comedy/History/Musical,1
Drama/Sport/War,1
Fantasy/Musical/Romance,1
History/Musical,1
Horror/Sport,1
Animation/Family/Western,1
Family/Reality-TV/Western,1
Adult/Animation/Comedy,1
Thriller/Comedy,1
Sci-Fi/War,1
Film-Noir/Horror/Thriller,1
Film-Noir/Mystery/Thriller,1
Adventure/Crime/Fantasy,1
Biography/History/Western,1
Crime/Documentary/Reality,1
Comedy/Documentary/War,1
Comedy/Game-Show/Talk-Show,1
Comedy/Music/Short,1
Animation/Fantasy/Adventure,1
Animation/Musical/Romance,1
Action/Crime/Reality-TV,1
Family/Musical/Short,1
Crime/Thriller/War,1
Action/Thriller/Drama/Science Fiction,1
Adventure/Musical/Romance,1
Adventure/Horror/Romance,1
Crime/Film-Noir/Sport,1
Fantasy/Music/Musical,1
Adventure/Reality-TV/Western,1
Musical/Reality-TV,1
Musical/Mystery/Romance,1
Drama/Horror/Reality-TV,1
Adventure/Documentary/Game-Show,1
Romance/Sport,1
Mystery/Reality-TV,1
Crime/History/Mystery,1
Crime/Reality/Documentary,1
Sci-Fi/Short/Thriller,1
Adventure/News,1
Documentary/Music/Mystery,1
Horror/Musical/Sci-Fi,1
Documentary/Drama/Reality-TV,1
Crime/Fantasy/Romance,1
Game-Show/Sport,1
Comedy/Thriller/War,1
Action/Crime/Family,1
Documentary/Family/Mystery,1
Action/Family/Sport,1
Action/Crime/Music,1
Crime/Drama/History/TV Movie,1
Comedy/Musical/Sport,1
Adventure/Animation/Romance,1
Crime/Music/Romance,1
History/Reality-TV/War,1
History/Short,1
Animation/Crime/Mystery,1
Horror/Mystery/Western,1
Music/Western,1
Biography/Family/Musical,1
Adventure/Music/Romance,1
History/Musical/Romance,1
Biography/Drama/Film-Noir,1
Romance/War/Western,1
Action/Documentary/War,1
Drama/Short/Western,1
Animation/Family/Horror,1
Animation/Family/Fantasy/Adventure,1
Animation/Adventure/Family/Fantasy,1
Mystery/TV Movie,1
Action/Crime/Film-Noir,1
Animation/Comedy/News,1
Family/Romance/Western,1
Action/Crime/War,1
Musical/War,1
Adventure/Horror/Short,1
Adventure/Mystery/War,1
Adventure/Biography/Romance,1
Comedy/Family/Reality-TV,1
Animation/Documentary/Sci-Fi,1
Comedy/Reality-TV/Talk-Show,1
